time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-01-01,133.19,128.72,129.19,2716525.9,355912453.88,130.71,direct,
2020-01-02,130.78,126.64,130.71,2900596.64,373323903.27,127.14,direct,
2020-01-03,134.95,125.94,127.14,6049569.24,793299229.48,134.17,direct,
2020-01-04,135.72,132.6,134.17,3180664.49,425222812.18,134.21,direct,
2020-01-05,138.28,134.19,134.21,3922564.76,533738432.66,135.39,direct,
2020-01-06,144.35,134.83,135.39,5123900.51,719291146.89,144.09,direct,
2020-01-07,145.11,138.91,144.09,4604576.86,656911891.48,142.92,direct,
2020-01-08,147.68,137.16,142.92,4991067.44,711343495.45,140.6,direct,
2020-01-09,141.47,135.51,140.6,3410915.61,472004496.23,137.84,direct,
2020-01-10,145.37,135.4,137.84,4175592.18,584495173.16,144.82,direct,
2020-01-11,147.85,142.08,144.82,3848391.33,555185261.4,142.54,direct,
2020-01-12,146.51,141.86,142.54,2823986.63,407390591.5,146.5,direct,
2020-01-13,146.86,142.38,146.5,2449565.73,351973132.37,143.48,direct,
2020-01-14,170.39,143.48,143.48,9973543.71,1550753498.69,165.98,direct,
2020-01-15,171.69,159.3,165.98,5981082.03,987391604.42,166.48,direct,
2020-01-16,167.37,158.99,166.48,4431206.95,719337352.38,164.41,direct,
2020-01-17,174.09,162.16,164.41,5891915.65,997156623.42,170.16,direct,
2020-01-18,179.39,165.25,170.16,5772529.52,1000088705.16,174.18,direct,
2020-01-19,177.86,162.04,174.18,5409952.05,916421282.58,166.92,direct,
2020-01-20,169.28,161.46,166.92,3120909.1,516570530.34,166.84,direct,
2020-01-21,169.91,165.18,166.84,2843578.06,476902730.05,169.37,direct,
2020-01-22,171.34,166.09,169.37,2638894.98,444595776.75,168.08,direct,
2020-01-23,168.18,159.51,168.08,3423611.28,559010071.4,162.87,direct,
2020-01-24,164.44,155.68,162.87,3962833.11,634556387.95,162.56,direct,
2020-01-25,162.71,157.82,162.56,1882710.78,301392988.74,160.44,direct,
2020-01-26,167.93,159.46,160.44,2397659.61,392349887.41,167.79,direct,
2020-01-27,172.9,165.33,167.79,3914059.32,661341401.35,170.13,direct,
2020-01-28,175.94,170.12,170.13,4093259.6,705813562.57,175.69,direct,
2020-01-29,178.35,173.53,175.69,3326973.79,586976948.45,173.84,direct,
2020-01-30,186.85,171.18,173.84,4342692.25,772738743.28,184.68,direct,
2020-01-31,185.76,175.44,184.68,3871686.82,700187184.15,179.96,direct,
2020-02-01,184.15,179.28,179.96,3187612.21,580739013.3,183.61,direct,
2020-02-02,193.22,179.61,183.61,5242239.98,986353934.45,188.46,direct,
2020-02-03,194.86,186.99,188.46,3738226.31,710763284.02,189.79,direct,
